"code_lines","commit_timestamp"
620154,"2016-11-19 16:51:05"
615243,"2016-04-04 06:41:09"
590548,"2015-10-23 06:21:18"
562905,"2014-12-04 09:42:40"
427610,"2014-08-12 20:44:28"
415692,"2014-03-16 18:25:50"
406873,"2013-08-22 17:22:55"
361395,"2013-03-16 17:11:30"
614,"2012-11-30 20:25:31"
274006,"2012-05-15 03:03:53"
205054,"2012-02-09 08:25:20"
200011,"2011-10-31 14:50:18"
191629,"2011-07-27 22:27:11"
165696,"2011-04-25 16:37:56"
151574,"2011-01-17 09:46:42"
126184,"2010-10-16 03:26:11"
101746,"2010-07-15 00:12:00"
